Speaker,Dialogue
KIRK,The planet is dead. There's no possibility of life there as we
KIRK, Since exploration and contact
UHURA,"Over three weeks at this distance, sir."
SPOCK,Captain.
KIRK,Got something?
SPOCK,Sensors registering some form of energy deep inside the planet.
SPOCK,"Reading energy only, Captain. No life forms."
SPOCK,"Coming from deep under the planet's surface, Captain. Under at"
SPOCK,"Reading a chamber now. Oxygen-nitrogen atmosphere, suitable for"
KIRK,"Lieutenant Uhura, have Doctor McCoy report to the transporter"
UHURA,"Yes, sir."
KIRK,Spock.
SPOCK,"Captain, I do wish to inspect whatever this is that lived that"
KIRK,And I would like to have my science officer with me on something
SULU,"All power gone, sir."
KIRK,"On the other hand, perhaps this Sargon would like you to come"
SPOCK,Fascinating.
SULU,All normal. No damage at all.
KIRK,"I see. Will you transport down with us, Mister Spock?"
SPOCK,"Evidently, Captain."
KIRK,"Mister Sulu, you have the conn."
MCCOY,"Jim, why no briefing on this? I'd at least"
KIRK,"Easy, Bones. As long as you know there's something down there,"
SCOTT,"I don't like it, sir. The transporter co-ordinates preset by an"
MCCOY,Inside solid rock?
SPOCK,Unlikely. These co-ordinates correspond with the location of the
KIRK,I have a feeling that they or it could destroy us just standing
MULHALL,They or it?
KIRK,Who are you?
MULHALL,"Doctor Ann Mulhall, Astro-biology. Well, I was ordered to"
KIRK,By whom?
MULHALL,"Strange, I'm not sure. Well, I'm not a liar, Captain. I did"
SPOCK,"I'm sure she did, Captain, Just as you received an order to"
KIRK,"Oh, yes."
MCCOY,Let's get back to this solid rock business. Just how much rock
SPOCK,"Approximately one hundred twelve point three seven miles,"
MCCOY,Miles? Are you joking?
KIRK,"No, we're not. Let's go."
KIRK,"Doctor, if you prefer to stay behind?"
MCCOY,"No. No, if I'd be useful, as long as you're going down, I might"
SPOCK,"Captain, the security guards."
KIRK,Kirk here.
KIRK,"Yes, Scotty, and I shouldn't be able to this deep inside the"
SCOTT,They're fine. They Just didn't
KIRK,No problem yet. Maintain alert. Kirk out.
MULHALL,"Atmosphere report, Captain. A fraction richer in oxygen than"
SPOCK,This vault was constructed about a half a million years ago.
KIRK,Composition of walls?
SPOCK,They're an alloy or substance completely unknown to me. Much
MULHALL,"All readings are off the scale, Captain."
MCCOY,The air seems fresh. It must be re-circulated somehow.
KIRK,"Is that for us, or does it need fresh air?"
SARGON, Welcome. I am Sargon.
SPOCK,"Sargon, would it harm you if I"
SARGON,"You may use your tricorder, Mister Spock. Your readings will"
SPOCK,Pure energy. Matter without form.
KIRK,Impossible.
MCCOY,But you once had a body of some type?
SARGON,"A body much as yours, my children, although our minds were"
KIRK,That's twice you've referred to us as my children.
SARGON,"Because it is possible you are our descendants, Captain Kirk."
MULHALL,"Our beliefs and our studies indicate that life on our planet,"
SPOCK,"That would tend, however, to explain certain elements of Vulcan"
SARGON,"In either case, I do not know. It was so long ago, and the"
KIRK,A war?
SARGON,A struggle for such goals and the unleashing of such power that
KIRK,"Then perhaps your intelligence wasn't so great, Sargon. We faced"
SARGON,"And we survived our primitive nuclear era, my son. But there"
KIRK,I don't understand.
SARGON,"One day our minds became so powerful, we dared think of"
KIRK,You said you wanted our help. What is it you wish?
SPOCK,"Just a moment, Doctor."
KIRK,I am Sargon.
MCCOY,Where's our captain? Where's Jim Kirk?
KIRK,He is unharmed. I have taken his body to demonstrate
MCCOY, I won't go along with this. Back to where
SPOCK,"And if he refuses, Doctor, what do you propose to do with your"
KIRK,"Lungs filled with air again. To see again. Heart pumping,"
SPOCK,What are your plans for it? Can you exchange places again when
KIRK,"Have no fear. Your captain is quite unharmed, although his mind"
SPOCK,Doctor?
MULHALL,"Yes, I have the same readings."
MCCOY,Are you aware of what's happening to his body? Heart action
MULHALL,He'll die if you don't leave his body. Soon!
SPOCK,What is it you want of us?
KIRK,"In the next room, there are other receptacles. The other two of"
KIRK,"Even for us, a half million years is almost too long to wait. Two"
SPOCK,When the struggle came which devastated your planet
KIRK,"Only the best minds were chosen to survive. Thalassa, my wife, as"
SPOCK,Fascinating.
KIRK,We knew the seed that we had planted on other planets would take
SPOCK,"These others, they were stored differently than you, but it was"
your task to remain in the receptacle out there KIRK,and search the
MULHALL,So you could steal our bodies from us?
KIRK,"To steal? To take them from you? No, no, my children, you"
MCCOY,"And destroy them, just as you're burning that one up now."
KIRK,I will return your captain to you before the body limit has been
SPOCK,"Our bodies, Sargon, for what purpose?"
KIRK,To build. To build humanoid robots. We must borrow your bodies
SPOCK,"Then you intend to construct mechanical bodies, move your minds"
MULHALL,"We have engineers, technicians. Why can't they build your"
KIRK,"No. Our methods, our skills are far beyond your abilities. It is"
MCCOY,"Is it you, Jim?  Good, his metabolic rate is back to"
SPOCK,"Captain, do you know what happened? Do you remember any part of"
KIRK,Yes. Sargon borrowed my body. I was floating in time and space.
MCCOY,"He doesn't appear to be harmed. Physically, anyway."
KIRK,"Spock, I remember. When Sargon and I exchanged, as we passed each"
MCCOY,That's the most ridiculous statement I've ever heard. An alien
practically hijacks your body and then corks you into a bottle and MULHALL,I'm afraid that I must agree with Doctor McCoy. You could be
KIRK,Sargon.
MCCOY,And what if we should decide against you?
SCOTT,You're going to what? Are they all right in
MCCOY,No comment.
KIRK,A simple transference. Their minds and ours.
MCCOY,Quite simple. Happens every day.
KIRK,"Scotty, I need your approval, too. Since you'll work with them,"
ll be MCCOY,It all seems rather indecent to me.
MULHALL,"I'm not so certain of that, Doctor. It is scientifically"
SPOCK,"Once inside their mechanical bodies, engineer, they can leave"
KIRK,"Bones, they'll show us medical advances, miracles you never"
SCOTT,Ach! You're joking.
SPOCK,"No, he's not."
MCCOY,"They're giants, and we're insects beside them. They could"
KIRK,They selected us as the most compatible bodies.
MCCOY,"What's your attitude on that, Doctor?"
MULHALL,"Well, if we all agree, I'm willing to host Thalassa's mind."
SCOTT,A starship engine the size of a walnut? That's impossible. But I
KIRK,Bones? You could stop all this by saying no. That's why I called
MCCOY,Then I'll still want one question answered to my satisfaction.
KIRK,"They used to say if man could fly, he'd have wings. But he did"
MCCOY,The extreme power of the alien mind will drive the heart action
CHAPEL,"Yes, sir."
MCCOY,"Well, I guess we're as ready as we'll ever be, Jim."
KIRK,"Ready, Sargon."
KIRK, The transference is complete.
CHAPEL,"Metabolic rate is double and rising, Doctor."
SPOCK," Hello. Oh, you are a lovely"
CHAPEL,Thank you.
SPOCK,You're welcome.
MULHALL, I'd forgotten what it felt like even to breathe again.
KIRK,Here. In this body.
MULHALL,"I am not displeased, my husband. Your body is not unlike that"
KIRK,"And I too am pleased, beloved."
MULHALL,After so long. So very long.
KIRK,Kiss.
SPOCK,"This is an excellent body, Doctor. I seem to have received the"
MCCOY,"Vulcans worship peace above all, Henoch."
SPOCK,"Yes, of course, Just as we do, Doctor."
MCCOY,Nurse!
CHAPEL,Doctor?
MCCOY,"Henoch, you'd better get back to bed too."
SPOCK,"It will be unnecessary, Doctor. This Vulcan body is accustomed"
MCCOY,"Sargon, it won't work. You've got to get out before you kill"
KIRK,We will vacate at once until you can administer a metabolic
MCCOY,A what?
SPOCK,"I'll prepare the formula, Sargon."
KIRK,"Henoch, your condition?"
SPOCK,I can continue in this body for several hours.
KIRK,Fortunate. We will vacate at once.
SPOCK,This woman will assist me.  You will take me to your
KIRK,"Bones, what?"
MCCOY,"It was close, Jim. You both barely got back alive. Unless the"
SPOCK,Now. this formula will reduce the heart
CHAPEL,I understand.
SPOCK,This hypo you will code mark for Thalassa. And this one you will
CHAPEL,"Yes, sir."
SPOCK,This one you will administer to Captain Kirk while Sargon is in
CHAPEL,This hypo does not contain the same formula.
SPOCK,"No, that's correct. But since I will arrange for you to"
CHAPEL,"Without the same formula, Captain Kirk will die."
SPOCK,What were you saying?
CHAPEL,I. I was. I wanted to say something. I've forgotten what it
SPOCK,"Yes. Well, you were about to say that you watched me prepare the"
CHAPEL,"Yes, that, that was it. I will inform Doctor McCoy that each is"
SPOCK,"Very good. You see, Sargon would not permit me to keep this"
MCCOY,"As planned, the construction of android"
MULHALL,"Sargon, I remember a day long ago. We sat beside a silver"
KIRK,I remember. You held my hand like this.
KIRK,I think it best not to remember so well.
SPOCK,"In two days, you'll have your own hands, Thalassa. Mechanically"
KIRK,"Our minds will have survived. And as androids, we can move among"
MULHALL,"What is it, Sargon?"
KIRK,Nothing. Our next injection will renovate me. Do not be
MCCOY,"Nurse, how are the last metabolic readings on our patients?"
CHAPEL,"You'll find them excellent, Doctor. Well within normal."
MCCOY,"Is something wrong, Miss Chapel?"
CHAPEL,"Er, yes. I, er, I had something to say. I can't seem to"
MCCOY,Regarding our patients?
CHAPEL,Yes. That must be it. I am so pleased the way they are
MCCOY,"You look tired, Miss Chapel. Perhaps you'd care for me to"
CHAPEL,"Tired? Well, not at all, Doctor. Thank you for asking."
MULHALL,Thank you. Have you prepared the negaton hydracoils for the
SCOTT,"For all the good it'll do you. It's a fancy name, but how will"
MULHALL,That would be highly inefficient.
SCOTT,"I tell you, lady, this thing won't work."
SPOCK,"It will have twice the strength and agility of your body,"
SPOCK,"A thousand-year prison, Thalassa. And when it wears out we'll"
MULHALL,"They're not ours, Henoch."
SPOCK,"When you awoke in this body, Thalassa, you said how good it was"
MULHALL,No. I'm beginning to hate it.
KIRK,Sickbay.
KIRK,"Sargon here, McCoy. I'm in your deck six briefing room."
MULHALL,"Sargon, what is it?"
KIRK,Nothing of importance. Fatigue perhaps.
MULHALL,Henoch's formula.
KIRK,Yes. I wanted to be certain there was no error. Formula is
MULHALL,"In time, a host body will become accustomed to us, husband."
KIRK,"That will take months, perhaps years. We haven't that choice,"
MULHALL,"Husband. Feel the touch of my hand, husband."
KIRK,"No, beloved. If we torment ourselves"
MULHALL,Beloved. What will that word mean to a machine?
KIRK,Our thoughts will intertwine.
MULHALL,"Will they, husband? Will they intertwine like this? Can two"
MCCOY,Hypo.
MULHALL,"Doctor, help him!"
MCCOY,He's dead.
NURSE,"All his vital organs are now working, Doctor."
MCCOY,"Yes, we can keep them going for a few weeks, or a month. For all"
MULHALL,"Why pretend to work on that thing, Henoch? You know you never"
SPOCK,"This is your new home, Thalassa. Once occupied, I'll add female"
MULHALL,No!
SPOCK,You have no excuse to keep the real body any longer. Sargon
MULHALL,I cannot live in that thing.
MULHALL,Doctor.
MCCOY,Yes?
MULHALL,Would you like to save your Captain Kirk?
MCCOY,But you said that was impossible.
MULHALL,We have many powers Sargon did not permit us to use. He
MCCOY,"I see. And Henoch intends to keep Spock's body, of course."
MULHALL,Henoch's plans are his own affair. I wish only to exist in
MCCOY,If you're asking my approval
MULHALL,I require only your silence. Only you and I will know that
MCCOY,Neither Jim nor I can trade a body we don't own. It happens to
MULHALL,Who you hardly know. Almost a stranger to you.
MCCOY,I will not peddle flesh. I'm a physician.
MULHALL,"A physician? In contrast to what we are, you are a prancing,"
MULHALL,Stop!  Sargon was right. The temptations
MULHALL,Sargon? Where are you? I thought you destroyed by Henoch.
SARGON,"I have power even Henoch does not suspect, beloved."
MULHALL,"Yes. Yes, I see. I understand. Just as we would have placed"
CHAPEL,Doctor.
MULHALL,"Doctor, leave us. Sargon has a plan. We have much work to do."
MCCOY,This is Sickbay. Get me
MCCOY,"Nurse Chapel, what in the devil?"
MCCOY,Jim? Are you all right?
KIRK,"Yes, I'm fine, Bones."
MCCOY,Thalassa?
MULHALL,"She is now with Sargon, Doctor. I'm Ann Mulhall, back in my"
MCCOY,"Jim, the receptacles. Spock's consciousness was in one of them."
KIRK,It was necessary.
MCCOY,What are you talking about? There is no Spock to return to his
KIRK,"Bones, prepare a hypo. The fastest, deadliest poison to Vulcans."
SPOCK,"Must I make an example of you, too, Helm?"
SPOCK,"Pain, Captain. And you, my dear?"
SPOCK,"Fortunately, Doctor, I know every thought of every mind around"
SPOCK,"Fools. I'll simply transfer to another place, another body."
SPOCK,"Sargon! No, Sargon, please. Let me. Let me transfer."
KIRK,Spock. My friend Spock. If there'd only been another way.
MCCOY,Jim.
KIRK,You're alive.
MCCOY,There was enough poison in that hypo to kill ten Vulcans.
MCCOY,Sargon.
SPOCK,"It seems, Doctor, the injection was only enough to cause"
KIRK,"But your vessel was destroyed, too. Where was your consciousness"
SPOCK,"The place Henoch would least suspect, Captain."
CHAPEL,"That is why I was summoned into Sickbay, Doctor. Mister Spock's"
KIRK,"Is there any way we can help you, Sargon?"
SARGON,"Yes, my son. You can allow Thalassa and me to share your bodies"
MULHALL,"Oblivion together does not frighten me, beloved. Promise we'll"
KIRK,"I promise, beloved."
MULHALL,Together forever.
KIRK,Forever beloved. Forever.
KIRK,"Well, I'm sure that Sargon appreciated your co-operation, Doctor"
MULHALL,"Yes. I was happy to co-operate, Captain."
CHAPEL,It was beautiful.
Original Airdate,"16 Feb, 1968"
SPOCK,"Passing outer planet, Zeon."
KIRK,"We want the inner one, Ekos. Plot a standard orbit, Mister"
CHEKOV,"Aye, sir."
KIRK,"Lieutenant Uhura, raise John Gill on Starfleet communications."
UHURA,"Aye, aye, sir."
MCCOY,"Starfleet's been trying for six months. If he's alive, isn't it"
KIRK,"I don't know, Bones. We're here to find out what's happened"
SPOCK,"I never met John Gill, but I studied Earth history from the text"
KIRK,I knew him very well. He was my instructor at the Academy.
SPOCK,What impressed me most was his treatment of Earth history as
